school,percent_of_classes_under_20,student_faculty_ratio,alumni_giving_rate,private,Graduation Rate,tuition,enrollment,Median Earnings 6 years after graduation,Employed 2 years after graduation,National University Rankings-2019,State
Boston College,39,13,25,1,92,57910,14107,72500,94,37,MA
Brandeis University ,68,8,33,1,90,57561,5801,57900,93,40,MA
Brown University,60,8,40,1,95,27668,2516,67500,91,14,RI
California Institute of Technology,65,3,46,1,89,54600,2233,85900,89,12,CA
Carnegie Mellon University,67,10,28,1,89,57119,14625,83600,91,25,PA
Case Western Reserve Univ.,52,8,31,1,83,50904,11891,74600,94,40,OH
College of William and Mary,45,12,27,1,45,22922,8817,33500,92,40,VA
Columbia University,69,7,31,1,95,61850,26338,83300,89,3,NY
Cornell University,72,13,35,1,93,57222,23600,77200,93,17,NY
Dartmouth College,61,10,53,1,96,57204,6571,75500,94,12,NH
Duke University,68,8,45,1,95,58198,16606,84400,94,7,NC
Emory University,65,7,37,1,91,53804,14459,66000,92,21,GA
Georgetown University,54,10,29,1,95,56058,19204,93500,92,24,DC
Harvard University,73,8,46,1,96,51925,20739,89700,89,2,MA
John Hopkins University,64,9,27,1,93,55350,26152,73200,91,10,MD
Lehigh University,55,11,40,1,86,55240,6849,81900,95,50,PA
Massachusetts Inst. of Technology,65,6,44,1,74,53790,11574,116000,96,3,MA
New York University,63,13,13,1,84,53508,51847,61900,91,29,NY
Northwestern University,66,8,30,1,94,56691,21591,69000,92,9,IL
Pennsylvania State Univ.,32,19,21,0,80,18450,46810,65000,90,6,PA
Princeton University,68,5,67,1,97,51870,8347,74700,87,2,NJ
Rice University,62,8,40,1,91,49112,7124,65400,92,17,TX
Stanford University,69,7,34,1,94,53529,17381,94000,94,6,CA
Tufts University ,67,9,29,1,93,58578,11586,75800,92,29,MA
Tulane University,56,12,17,1,83,56800,11722,61700,91,40,LA
U. of California-Berleley,58,17,18,0,91,14184,42501,64700,88,22,CA
U. of California-Davis,32,19,7,0,85,14492,38097,58200,91,39,CA
U. of California-Irvine,42,20,9,0,85,13727,36032,58400,90,36,CA
U. of California-Los Angeles,41,18,13,0,91,13226,45930,60700,89,20,CA
U. of California-San Diego,48,19,8,0,85,14170,37887,59900,89,37,CA
U. of California-Santa Barbara,45,20,12,0,81,14391,25976,55300,91,34,CA
U. of Chicago,65,4,36,1,93,59298,14347,68100,92,6,IL
U. of Florida,31,23,19,0,88,6380,52218,56000,92,34,FL
U. of Illinois-Urbana Champaign,29,15,23,0,85,16210,49702,61500,95,46,IL
U. of Michigan-Ann Arbor,51,15,13,0,92,15558,46716,63400,94,25,MI
U. of North Carolina-Chapel Hill,40,16,26,0,91,9043,30011,55600,94,29,NC
U. of Notre Dame,53,13,49,1,95,55553,12607,78400,95,15,IN
U. of Pennsylvania,65,7,41,1,96,57770,22376,85900,91,6,PA
U. of Rochester,63,10,23,1,85,56026,11817,61200,92,29,NY
U. of Southern California,53,13,22,1,92,58195,47310,74000,92,22,CA
U. of Texas-Austin,39,21,13,0,83,10818,51832,58200,93,48,TX
U. of Virginia,44,13,28,0,95,17891,24639,61200,94,28,VA
U. of Washington,37,12,12,0,84,11465,47361,57700,91,19,WA
U. of Wisconsin-Madison,37,13,13,0,87,10725,44411,56200,95,40,WI
Vanderbuilt University,68,9,31,1,92,52070,12824,69000,94,15,TN
Wake Forest University,59,11,38,1,88,55440,8401,63800,94,27,NC
Washington University-St. Louis,73,7,33,1,94,55292,15852,70100,94,19,MO
Yale University,77,7,50,1,97,55500,13433,83200,92,3,CT
